-9.756564	-111.488780-21.750000	-8.250000
-9.899358	-110.752499-21.750000	-7.500000
-10.042152	-110.016218-21.750000	-6.750000
-10.184946	-109.279937-21.750000	-6.000000
-10.327740	-108.543655-21.750000	-5.250000
-10.470534	-107.807374-21.750000	-4.500000
-10.613328	-107.071093-21.750000	-3.750000
-6.021611	-126.807890-21.000000	-24.000000
-6.164405	-126.071609-21.000000	-23.250000
-6.307199	-125.335327-21.000000	-22.500000
-6.449993	-124.599046-21.000000	-21.750000
-6.592787	-123.862765-21.000000	-21.000000
-6.735580	-123.126484-21.000000	-20.250000
-6.878374	-122.390203-21.000000	-19.500000
-7.021168	-121.653922-21.000000	-18.750000
-7.163962	-120.917641-21.000000	-18.000000
-7.306756	-120.181360-21.000000	-17.250000
-7.449550	-119.445078-21.000000	-16.500000
-7.592344	-118.708797-21.000000	-15.750000
-7.735138	-117.972516-21.000000	-15.000000
-7.877932	-117.236235-21.000000	-14.250000
-8.020726	-116.499954-21.000000	-13.500000
-8.163520	-115.763673-21.000000	-12.750000
-8.306314	-115.027392-21.000000	-12.000000
-8.449107	-114.291111-21.000000	-11.250000
-8.591901	-113.554829-21.000000	-10.500000
-8.734695	-112.818548-21.000000	-9.750000
-8.877489	-112.082267-21.000000	-9.000000
-9.020283	-111.345986-21.000000	-8.250000
-9.163077	-110.609705-21.000000	-7.500000
-9.305871	-109.873424-21.000000	-6.750000
-9.448665	-109.137143-21.000000	-6.000000
-9.591459	-108.400862-21.000000	-5.250000
-9.734253	-107.664580-21.000000	-4.500000
-9.877047	-106.928299-21.000000	-3.750000
-10.019841	-106.192018-21.000000	-3.000000
-10.162634	-105.455737-21.000000	-2.250000
-10.305428	-104.719456-21.000000	-1.500000
-5.285330	-126.665096-20.250000	-24.000000
-5.428124	-125.928815-20.250000	-23.250000
-5.570918	-125.192534-20.250000	-22.500000
-5.713712	-124.456252-20.250000	-21.750000
-5.856505	-123.719971-20.250000	-21.000000
-5.999299	-122.983690-20.250000	-20.250000
-6.142093	-122.247409-20.250000	-19.500000
-6.284887	-121.511128-20.250000	-18.750000
-6.427681	-120.774847-20.250000	-18.000000
-6.570475	-120.038566-20.250000	-17.250000
-6.713269	-119.302285-20.250000	-16.500000
-6.856063	-118.566003-20.250000	-15.750000
-6.998857	-117.829722-20.250000	-15.000000
